# WHO Child Growth Standards; source=https://www.who.int/tools/child-growth-standards/standards/length-height-for-age
day,minus2sd,median,plus2sd
0,46.098,49.884,53.670
1,46.271,50.060,53.850
2,46.443,50.236,54.029
3,46.617,50.412,54.207
4,46.789,50.588,54.386
5,46.962,50.764,54.565
6,47.135,50.939,54.743
7,47.309,51.115,54.921
8,47.482,51.291,55.100
9,47.655,51.467,55.279
10,47.828,51.643,55.457
11,48.003,51.819,55.635
12,48.176,51.994,55.813
13,48.349,52.170,55.991
14,48.523,52.346,56.169
15,48.671,52.498,56.325
16,48.817,52.649,56.481
17,48.963,52.799,56.635
18,49.107,52.948,56.789
19,49.251,53.097,56.942
20,49.395,53.244,57.094
21,49.537,53.390,57.244
22,49.678,53.536,57.394
23,49.819,53.680,57.542
24,49.957,53.824,57.691
25,50.096,53.966,57.837
26,50.233,54.108,57.983
27,50.370,54.248,58.127
28,50.505,54.388,58.271
29,50.639,54.527,58.415
30,50.773,54.664,58.556
31,50.906,54.801,58.696
32,51.037,54.937,58.836
33,51.168,55.071,58.975
34,51.297,55.205,59.112
35,51.426,55.337,59.249
36,51.554,55.469,59.384
37,51.681,55.599,59.518
38,51.805,55.728,59.652
39,51.930,55.857,59.784
40,52.054,55.984,59.914
41,52.176,56.110,60.045
42,52.298,56.236,60.173
43,52.419,56.360,60.301
44,52.539,56.483,60.428
45,52.657,56.606,60.554
46,52.775,56.727,60.678
47,52.892,56.847,60.803
48,53.007,56.967,60.926
49,53.123,57.085,61.047
50,53.237,57.203,61.168
51,53.350,57.319,61.288
52,53.463,57.435,61.407
53,53.574,57.550,61.525
54,53.685,57.664,61.642
55,53.795,57.777,61.759
56,53.904,57.889,61.874
57,54.012,58.000,61.988
58,54.120,58.111,62.102
59,54.226,58.221,62.216
60,54.332,58.330,62.328
61,54.438,58.438,62.439
62,54.542,58.546,62.551
63,54.646,58.654,62.661
64,54.750,58.760,62.770
65,54.853,58.866,62.880
66,54.956,58.972,62.988
67,55.057,59.077,63.096
68,55.159,59.181,63.203
69,55.259,59.284,63.310
70,55.358,59.387,63.416
71,55.458,59.489,63.520
72,55.557,59.591,63.625
73,55.654,59.692,63.730
74,55.752,59.792,63.833
75,55.849,59.892,63.935
76,55.945,59.991,64.037
77,56.041,60.089,64.138
78,56.135,60.187,64.239
79,56.230,60.284,64.339
80,56.323,60.381,64.438
81,56.416,60.477,64.537
82,56.509,60.572,64.635
83,56.601,60.666,64.732
84,56.692,60.760,64.829
85,56.783,60.854,64.925
86,56.873,60.947,65.020
87,56.961,61.039,65.116
88,57.050,61.130,65.210
89,57.139,61.221,65.303
90,57.227,61.312,65.396
91,57.313,61.401,65.489
92,57.400,61.490,65.581
93,57.486,61.579,65.672
94,57.571,61.667,65.763
95,57.656,61.754,65.852
96,57.740,61.841,65.942
97,57.824,61.927,66.031
98,57.906,62.013,66.120
99,57.990,62.098,66.207
100,58.071,62.183,66.294
101,58.153,62.266,66.380
102,58.234,62.350,66.466
103,58.315,62.433,66.551
104,58.394,62.515,66.636
105,58.473,62.597,66.720
106,58.552,62.678,66.803
107,58.630,62.758,66.887
108,58.707,62.838,66.969
109,58.786,62.918,67.050
110,58.862,62.997,67.132
111,58.938,63.075,67.213
112,59.013,63.153,67.294
113,59.088,63.231,67.374
114,59.163,63.308,67.452
115,59.237,63.384,67.530
116,59.311,63.460,67.609
117,59.384,63.535,67.686
118,59.456,63.610,67.764
119,59.528,63.684,67.840
120,59.600,63.758,67.916
121,59.671,63.831,67.992
122,59.741,63.904,68.067
123,59.812,63.976,68.141
124,59.881,64.048,68.215
125,59.951,64.120,68.289
126,60.019,64.191,68.362
127,60.088,64.261,68.434
128,60.156,64.331,68.506
129,60.224,64.401,68.578
130,60.291,64.470,68.649
131,60.358,64.538,68.719
