# WHO Child Growth Standards; source=https://www.who.int/tools/child-growth-standards/standards/length-height-for-age
day,minus2sd,median,plus2sd
0,45.422,49.148,52.873
1,45.585,49.317,53.048
2,45.748,49.485,53.223
3,45.910,49.654,53.398
4,46.074,49.823,53.573
5,46.237,49.992,53.748
6,46.400,50.161,53.922
7,46.563,50.330,54.096
8,46.726,50.499,54.271
9,46.890,50.668,54.445
10,47.052,50.836,54.621
11,47.216,51.005,54.795
12,47.379,51.174,54.969
13,47.543,51.343,55.144
14,47.706,51.512,55.318
15,47.839,51.651,55.463
16,47.971,51.790,55.608
17,48.102,51.927,55.752
18,48.232,52.064,55.896
19,48.362,52.200,56.038
20,48.491,52.335,56.180
21,48.619,52.470,56.320
22,48.746,52.603,56.460
23,48.872,52.735,56.598
24,48.996,52.866,56.736
25,49.121,52.996,56.871
26,49.244,53.126,57.007
27,49.366,53.254,57.141
28,49.487,53.381,57.275
29,49.608,53.507,57.407
30,49.727,53.633,57.538
31,49.846,53.757,57.668
32,49.962,53.881,57.799
33,50.079,54.003,57.927
34,50.195,54.125,58.054
35,50.310,54.245,58.180
36,50.424,54.365,58.307
37,50.537,54.484,58.431
38,50.650,54.602,58.554
39,50.760,54.719,58.677
40,50.871,54.835,58.798
41,50.980,54.950,58.919
42,51.090,55.064,59.039
43,51.197,55.178,59.158
44,51.305,55.290,59.276
45,51.411,55.402,59.393
46,51.516,55.513,59.510
47,51.621,55.623,59.625
48,51.725,55.732,59.739
49,51.828,55.841,59.853
50,51.930,55.948,59.966
51,52.032,56.055,60.077
52,52.133,56.161,60.189
53,52.233,56.266,60.299
54,52.332,56.370,60.409
55,52.430,56.474,60.517
56,52.528,56.577,60.625
57,52.625,56.679,60.732
58,52.721,56.780,60.839
59,52.817,56.881,60.944
60,52.912,56.980,61.049
61,53.006,57.080,61.153
62,53.100,57.178,61.256
63,53.193,57.276,61.359
64,53.286,57.373,61.461
65,53.377,57.470,61.563
66,53.468,57.566,61.663
67,53.559,57.661,61.763
68,53.650,57.756,61.862
69,53.739,57.850,61.961
70,53.827,57.944,62.060
71,53.916,58.036,62.157
72,54.004,58.129,62.254
73,54.090,58.221,62.351
74,54.177,58.312,62.446
75,54.264,58.402,62.541
76,54.349,58.492,62.636
77,54.434,58.582,62.729
78,54.518,58.670,62.823
79,54.602,58.759,62.915
80,54.685,58.846,63.008
81,54.768,58.934,63.099
82,54.850,59.020,63.191
83,54.932,59.107,63.281
84,55.013,59.192,63.371
85,55.095,59.277,63.460
86,55.175,59.362,63.549
87,55.254,59.446,63.638
88,55.334,59.530,63.725
89,55.412,59.613,63.813
90,55.491,59.695,63.899
91,55.569,59.777,63.986
92,55.646,59.859,64.072
93,55.724,59.940,64.156
94,55.800,60.021,64.242
95,55.876,60.101,64.326
96,55.951,60.181,64.411
97,56.028,60.260,64.493
98,56.102,60.339,64.576
99,56.176,60.418,64.659
100,56.250,60.496,64.741
101,56.324,60.573,64.823
102,56.398,60.651,64.903
103,56.470,60.727,64.984
104,56.542,60.804,65.065
105,56.614,60.880,65.145
106,56.686,60.955,65.224
107,56.757,61.030,65.303
108,56.827,61.105,65.382
109,56.898,61.179,65.460
110,56.969,61.253,65.537
111,57.038,61.326,65.614
112,57.107,61.399,65.691
113,57.176,61.472,65.767
114,57.244,61.544,65.843
115,57.312,61.616,65.919
116,57.380,61.687,65.994
117,57.447,61.758,66.069
118,57.514,61.829,66.143
119,57.581,61.899,66.217
120,57.647,61.969,66.290
121,57.712,62.038,66.365
122,57.777,62.107,66.437
123,57.842,62.176,66.509
124,57.907,62.244,66.581
125,57.971,62.312,66.653
126,58.035,62.380,66.724
127,58.099,62.447,66.794
128,58.163,62.514,66.864
129,58.226,62.580,66.934
130,58.287,62.646,67.005
131,58.350,62.712,67.074
132,58.412,62.777,67.143
133,58.474,62.842,67.211
134,58.535,62.907,67.279
135,58.595,62.971,67.348
