# WHO Child Growth Standards; source=https://www.who.int/tools/child-growth-standards/standards/weight-for-age
day,minus2sd,median,plus2sd
0,2.459,3.346,4.419
1,2.437,3.317,4.394
2,2.454,3.337,4.421
3,2.475,3.363,4.453
4,2.499,3.392,4.490
5,2.525,3.422,4.528
6,2.551,3.454,4.568
7,2.579,3.488,4.609
8,2.607,3.522,4.650
9,2.637,3.558,4.693
10,2.667,3.594,4.738
11,2.698,3.632,4.784
12,2.730,3.671,4.831
13,2.764,3.711,4.880
14,2.798,3.753,4.931
15,2.833,3.796,4.983
16,2.869,3.839,5.035
17,2.905,3.883,5.089
18,2.941,3.927,5.143
19,2.977,3.971,5.196
20,3.014,4.016,5.250
21,3.051,4.060,5.304
22,3.087,4.105,5.358
23,3.124,4.149,5.411
24,3.160,4.193,5.464
25,3.197,4.237,5.517
26,3.233,4.281,5.570
27,3.269,4.324,5.622
28,3.305,4.367,5.674
29,3.340,4.410,5.725
30,3.376,4.452,5.776
31,3.411,4.495,5.827
32,3.445,4.536,5.877
33,3.480,4.578,5.926
34,3.514,4.618,5.975
35,3.548,4.659,6.023
36,3.581,4.699,6.071
37,3.615,4.739,6.118
38,3.648,4.778,6.164
39,3.680,4.817,6.210
40,3.712,4.855,6.256
41,3.744,4.893,6.300
42,3.776,4.930,6.345
43,3.807,4.967,6.388
44,3.838,5.004,6.432
45,3.869,5.040,6.475
46,3.900,5.076,6.517
47,3.930,5.112,6.558
48,3.960,5.147,6.600
49,3.989,5.182,6.641
50,4.018,5.216,6.681
51,4.047,5.250,6.721
52,4.076,5.284,6.760
53,4.104,5.317,6.799
54,4.133,5.350,6.837
55,4.160,5.383,6.876
56,4.188,5.415,6.913
57,4.215,5.447,6.950
58,4.242,5.478,6.987
59,4.269,5.510,7.024
60,4.296,5.541,7.060
61,4.322,5.571,7.095
62,4.348,5.602,7.131
63,4.374,5.632,7.166
64,4.400,5.662,7.200
65,4.425,5.691,7.234
66,4.450,5.720,7.268
67,4.475,5.749,7.302
68,4.500,5.778,7.335
69,4.525,5.806,7.368
70,4.549,5.835,7.400
71,4.573,5.862,7.433
72,4.597,5.890,7.464
73,4.620,5.917,7.496
74,4.644,5.944,7.527
75,4.667,5.971,7.558
76,4.690,5.998,7.589
77,4.713,6.024,7.619
78,4.736,6.050,7.649
79,4.758,6.076,7.679
80,4.780,6.102,7.709
81,4.802,6.127,7.738
82,4.824,6.152,7.767
83,4.846,6.177,7.795
84,4.867,6.202,7.824
85,4.888,6.226,7.852
86,4.909,6.251,7.880
87,4.930,6.275,7.907
88,4.951,6.299,7.935
89,4.972,6.322,7.962
90,4.992,6.346,7.989
91,5.012,6.369,8.016
92,5.032,6.392,8.042
93,5.052,6.415,8.069
94,5.072,6.438,8.095
95,5.091,6.460,8.121
96,5.111,6.482,8.146
97,5.130,6.505,8.172
98,5.149,6.526,8.197
99,5.168,6.548,8.222
100,5.187,6.570,8.247
101,5.205,6.591,8.272
102,5.224,6.613,8.296
103,5.242,6.634,8.321
104,5.260,6.655,8.345
105,5.278,6.676,8.369
106,5.296,6.696,8.392
107,5.314,6.717,8.416
108,5.332,6.737,8.440
109,5.349,6.757,8.463
110,5.367,6.777,8.486
111,5.384,6.797,8.509
112,5.401,6.817,8.532
113,5.418,6.836,8.555
114,5.435,6.856,8.577
115,5.452,6.875,8.600
116,5.468,6.894,8.622
117,5.485,6.914,8.644
118,5.501,6.932,8.666
119,5.517,6.951,8.688
120,5.533,6.970,8.709
121,5.549,6.988,8.731
122,5.565,7.007,8.752
123,5.581,7.025,8.773
124,5.597,7.043,8.794
125,5.613,7.062,8.815
126,5.628,7.079,8.836
127,5.643,7.097,8.857
128,5.658,7.115,8.878
129,5.674,7.132,8.898
130,5.689,7.150,8.919
131,5.704,7.167,8.939
132,5.718,7.185,8.959
133,5.733,7.202,8.979
134,5.748,7.219,8.999
135,5.762,7.236,9.019
136,5.777,7.252,9.038
137,5.791,7.269,9.058
138,5.805,7.286,9.077
139,5.819,7.302,9.097
140,5.833,7.319,9.116
141,5.847,7.335,9.135
142,5.861,7.351,9.154
143,5.875,7.367,9.173
144,5.888,7.383,9.192
145,5.902,7.399,9.211
146,5.915,7.415,9.229
147,5.929,7.431,9.248
148,5.942,7.446,9.266
149,5.955,7.462,9.285
150,5.968,7.477,9.303
151,5.981,7.492,9.321
152,5.994,7.508,9.339
153,6.007,7.523,9.357
154,6.020,7.538,9.375
155,6.033,7.553,9.392
156,6.045,7.568,9.410
157,6.058,7.582,9.427
158,6.070,7.597,9.445
159,6.082,7.612,9.462
160,6.095,7.626,9.480
161,6.107,7.641,9.497
162,6.119,7.655,9.514
163,6.131,7.669,9.531
164,6.143,7.683,9.548
165,6.155,7.698,9.565
166,6.167,7.712,9.581
167,6.178,7.726,9.598
168,6.190,7.739,9.615
169,6.202,7.753,9.631
170,6.213,7.767,9.648
171,6.225,7.780,9.664
172,6.236,7.794,9.680
173,6.247,7.808,9.696
174,6.259,7.821,9.713
175,6.270,7.834,9.729
176,6.281,7.848,9.745
177,6.292,7.861,9.761
178,6.303,7.874,9.776
179,6.314,7.887,9.792
180,6.325,7.900,9.808
181,6.336,7.913,9.823
182,6.346,7.926,9.839
183,6.357,7.939,9.855
184,6.368,7.952,9.870
185,6.378,7.964,9.885
186,6.389,7.977,9.901
187,6.399,7.990,9.916
188,6.410,8.002,9.931
189,6.420,8.014,9.946
190,6.430,8.027,9.961
191,6.441,8.039,9.976
192,6.451,8.052,9.991
193,6.461,8.064,10.006
194,6.471,8.076,10.021
195,6.481,8.088,10.035
196,6.491,8.100,10.050
197,6.501,8.112,10.065
198,6.511,8.124,10.079
199,6.520,8.136,10.094
200,6.530,8.148,10.108
201,6.540,8.159,10.123
202,6.550,8.171,10.137
203,6.559,8.183,10.151
204,6.569,8.194,10.165
205,6.578,8.206,10.179
206,6.588,8.217,10.193
207,6.597,8.229,10.207
208,6.607,8.240,10.221
209,6.616,8.251,10.235
210,6.625,8.263,10.249
211,6.634,8.274,10.263
212,6.644,8.285,10.276
213,6.653,8.296,10.290
214,6.662,8.307,10.304
215,6.671,8.318,10.317
216,6.680,8.329,10.331
217,6.689,8.340,10.345
218,6.698,8.351,10.358
219,6.707,8.362,10.371
220,6.716,8.373,10.384
221,6.724,8.384,10.398
222,6.733,8.394,10.411
223,6.742,8.405,10.424
224,6.751,8.416,10.437
225,6.759,8.426,10.450
226,6.768,8.437,10.464
227,6.776,8.447,10.476
228,6.785,8.458,10.489
229,6.793,8.468,10.502
230,6.802,8.479,10.515
231,6.810,8.489,10.528
232,6.819,8.499,10.541
233,6.827,8.510,10.553
234,6.836,8.520,10.566
235,6.844,8.530,10.579
236,6.852,8.540,10.591
237,6.860,8.550,10.604
238,6.869,8.560,10.616
239,6.877,8.570,10.629
240,6.885,8.580,10.641
241,6.893,8.590,10.654
